timestamp,action,filename,size,user,ip,hash,reason,success
2026-01-08T08:19:47.025464,system_start,,0,system,127.0.0.1,,SMDG v0.1 успешно запущен,True
2026-01-08T08:20:58.870757,upload,67422b49_717004b8_d812bdee_commands (1).txt,0,api_user,127.0.0.1,,"Ошибка шифрования age: age: error: failed to open input file ""'/app/uploads/tmp_4ce07db7_67422b49_717004b8_d812bdee_commands_(1).txt'"": open '/app/uploads/tmp_4ce07db7_67422b49_717004b8_d812bdee_commands_(1).txt': no such file or directory
age: report unexpected or unhelpful errors at https://filippo.io/age/report",False
2026-01-08T08:21:07.059764,upload,d812bdee_commands (1).txt,0,api_user,127.0.0.1,,"Ошибка шифрования age: age: error: failed to open input file ""'/app/uploads/tmp_f9acda1d_d812bdee_commands_(1).txt'"": open '/app/uploads/tmp_f9acda1d_d812bdee_commands_(1).txt': no such file or directory
age: report unexpected or unhelpful errors at https://filippo.io/age/report",False
2026-01-08T08:21:19.347652,upload,9dddcb13_8074cfb8_test_delete.py.age,0,api_user,127.0.0.1,e12f15f1fe275d545bf11c4b1b4d3a717bceec6eea1e9b6fa83cc8d136db9156,File uploaded and encrypted,True
2026-01-08T08:21:24.174611,download,9dddcb13_8074cfb8_test_delete.py.age,0,api_user,127.0.0.1,,File downloaded and decrypted,True
2026-01-08T08:21:44.158103,download,9dddcb13_8074cfb8_test_delete.py.age,0,api_user,127.0.0.1,,File downloaded and decrypted,True
2026-01-08T08:22:13.935015,delete,9dddcb13_8074cfb8_test_delete.py.age,2744,admin,127.0.0.1,a552d24e6636551a955d4ccc6634539e30cf7fd978ce61ea1839034c2c6c0e6f,Ручное удаление администратором,True
2026-01-08T17:00:07.030642,keys_loaded,age.key,0,system,127.0.0.1,,Существующие ключи загружены при старте,True
2026-01-08T17:00:07.031003,system_start,,0,system,127.0.0.1,,SMDG v0.1 успешно запущен,True
2026-01-08T17:00:22.439076,upload,108b4bc9_717004b8_d812bdee_commands.txt.age,0,api_user,127.0.0.1,f5ef332b01c77bd58e8dc328c00d6c7c899a6594ca0d6359ed1fb125f04b1b4a,File uploaded and encrypted,True
2026-01-08T17:00:37.797268,download,108b4bc9_717004b8_d812bdee_commands.txt.age,0,api_user,127.0.0.1,,File downloaded and decrypted,True
